Code;Denomination;Class;SoftAtk;HardAtk;AirAtk;NavalAtk;GroundDef;AirDef;CloseDef;Target;Initiativa;GunRange;SpotRange;RangeDefMod;MoveMode;MovMethod;MovPoints;Fuel;Ammo;byteB21;Cost;byteB23,24;byteB25;MonthExpired;MontAvaible;YearAvaible;YearExpired;Organic Transport;Country;Special1;Special2;byteB37;byteB38;bomberCode;Icon;atkMel;movMel;dieMel;byte52;byte53;byte54;byte55;byte56;byte57;byte58;byte59;byte60;byte61;byte62;byte63;byte64;byte65;byte66;byte67;byte68;byte69;byte70;byte71;byte72;byte73
0;Error VERSION: OpenPanzer 0.2;9;8;6;10;0;2;5;0;0;4;2;2;7;0;8;1;0;8;0;51;171;0;12;6;39;46;1;0;49;0;0;0;0;EQERR;46;80;13 ;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1;40 ItK/36;9;8;6;10;0;2;5;0;0;4;2;2;7;0;4;1;0;8;0;14;171;0;12;10;36;46;1;6;49;0;0;0;0;PA731;46;80;13 ;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
2;37 PstK/36;4;3;7;0;3;8;8;0;0;6;1;2;9;0;3;2;0;10;0;6;32;0;12;11;39;43;2;6;1;0;0;0;0;PT413;73;80;13 ;1;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
3;50 PstK/38;4;4;12;0;5;8;8;0;0;9;1;2;9;0;3;2;0;9;0;9;32;0;12;8;42;46;2;6;1;0;0;0;0;PT298;73;80;13 ;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
4;75 PstK/40;4;6;15;0;5;8;8;0;0;10;2;2;9;0;4;1;0;8;0;14;22;0;12;10;43;46;1;6;1;0;0;0;0;PT295;51;80;13 ;4;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
5;StuG IIIG;4;8;15;1;5;11;9;1;1;10;2;1;5;0;0;5;40;8;0;40;67;0;12;7;43;46;1;6;1;0;0;0;0;PA193;51;7;3 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
6;105 H/37;8;10;5;0;2;3;6;0;0;2;4;2;3;0;4;0;0;8;0;19;60;0;12;2;43;46;2;6;1;0;0;0;0;PA801;15;80;13 ;4;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
7;150 H/40;8;15;8;0;3;1;4;0;0;2;4;2;1;0;4;0;0;5;0;44;38;0;12;12;40;46;1;6;1;0;0;0;0;PAT45;48;80;13 ;8;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
8;76,2 K/02;8;8;5;0;2;3;7;0;0;2;3;2;3;0;4;1;0;9;0;13;60;0;12;6;18;46;2;6;1;0;0;0;0;LE099;16;80;13 ;2;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
9;BT-42;4;9;6;0;3;6;6;2;1;5;2;1;5;0;0;5;58;6;0;21;160;0;10;9;42;43;1;6;1;0;0;0;0;AD14;57;70;2 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
10;Jaakari;1;6;1;0;3;7;7;3;0;2;1;3;8;0;3;4;0;6;0;12;94;0;5;1;35;41;2;6;1;0;0;0;0;JKI24;2;72;1 ;160;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
11;Suojeluskunta;1;4;1;0;2;6;5;1;0;0;1;2;8;0;8;2;0;4;0;4;94;0;4;1;35;40;0;6;1;0;2;0;0;JKI21;2;1;1 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
12;Jalkavaki;1;5;1;0;3;7;6;2;0;1;1;2;8;0;3;3;0;5;0;6;94;0;5;1;35;41;2;6;1;0;0;0;0;JKI18;2;1;1 ;32;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
13;Pioneeri;1;7;3;0;4;9;8;2;0;2;1;2;8;0;3;2;0;7;0;32;94;0;12;9;39;46;2;6;5;0;0;0;0;JKI22;89;72;1 ;128;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
14;Ratsuvaki;1;5;1;0;2;7;6;1;0;2;1;3;8;0;8;5;0;6;0;13;94;0;5;10;39;44;2;6;1;0;0;0;0;H18;2;2;10 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
15;BAF-C;3;7;8;0;3;6;6;2;1;5;1;3;6;0;2;7;55;7;0;45;170;0;8;2;40;44;1;6;1;0;2;0;0;PA845;47;3;2 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
16;BT-7;2;7;8;0;3;8;8;2;1;6;1;1;4;0;2;8;75;10;0;40;165;0;7;2;40;42;1;6;1;0;2;0;0;PA401;70;70;2 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
17;6ton;2;7;7;0;3;6;5;2;1;4;1;1;5;0;0;4;45;8;0;23;203;0;6;12;39;41;1;6;1;0;0;0;0;PT283;47;70;2 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
18;Pz IVJ;2;9;15;1;5;12;9;2;1;10;2;1;4;0;0;5;57;12;0;75;53;0;12;9;44;46;1;6;1;0;0;0;0;PA130;51;7;3 ;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
19;T-23;7;0;0;0;0;2;2;0;0;1;1;1;2;0;2;10;55;0;0;8;46;0;12;9;40;46;1;6;49;0;0;0;0;TDU33;82;3;1 ;132;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
