Data exported report.
Base EQP: F:\Games\Panzer General II\Equip97.eqp
Created EQP: F:\Games\Panzer General II\Equip97_SEL.EQP
94 items
#Old, #New  Equip
   0,    0  Based on LUPO EquipFile2.14 [13.03.2012]
  68,    1  LUPO EquipFile2.14
  69,    2  37mm FlaK
  74,    3  3.7cm PaK
  75,    4  5cm PaK
  79,    5  7.5cm  PaK
  81,    6  StuG IIIG
  82,    7  105 K/29
  86,    8  150 H40
  88,    9  76.2 RK/27
  90,   10  StuG IIIB
  93,   11  Strongpoint
  94,   12  Fortification
  97,   13  Jaakari
 107,   14  Sissi
 108,   15  Ski
 110,   16  PSW 231
 111,   17  BT-7
 117,   18  T26S
 118,   19  Pz IVJ
 124,   20  Kuorma-auto
 125,   21  Vauna
 127,   22  Me-109 F
 129,   23  F-2A
 132,   24  Fokker DXXI
 134,   25  Ju-87B
 135,   26  Ju-52
 137,   27  M16 MGMC
 139,   28  25mm
 141,   29  76mm
 147,   30  M10
 152,   31  105mm
 153,   32  155mm
 154,   33  75mm
 156,   34  M7
 157,   35  Strongpoint
 159,   36  Fortification
 165,   37  Cavalerie
 174,   38  Chasseurs Alpins
 176,   39  Sapeurs Mineurs
 400,   40  Infanterie
 402,   41  Equipage de ponts
 403,   42  M8
 409,   43  Panhard 178
 410,   44  Dunkerque
 411,   45  Richelieu
 413,   46  Suffren
 415,   47  La Galissoniere 
 420,   48  Le Fantasque
 421,   49  B1-bis 
 422,   50  H39 
 423,   51  M5A1 
 425,   52  M4A1 
 428,   53  M4A1/76
 432,   54  R35 
 433,   55  R40 
 434,   56  S35 
 437,   57  Camion
 438,   58  MCG-5
 439,   59  Camion
 440,   60  Charrette
 447,   61  D.520
 449,   62  MS-406
 450,   63  Pz 633
 452,   64  Potez 650TT
 456,   65  20mm FlaK
 459,   66  20mm (Q) FlaK
 460,   67  3.7cm PaK
 462,   68  37mm FlaK
 463,   69  37mm FlaK/IV
 470,   70  88mm FlaK
 472,   71  Coelion
 546,   72  FlaKPz 38(t)
 549,   73  Ostwind
 676,   74  SdKfz 7/1
 677,   75  SdKfz 6/2
 697,   76  SdKfz 10/4
 701,   77  Wirbelwind
 813,   78  5cm PaK
 817,   79  7.5cm PaK
 819,   80  8.8cm
 846,   81  8.8cm PaK
 885,   82  Elefant
 952,   83  Hetzer
 953,   84  JgdPanther
 964,   85  JgdPz IV
 972,   86  JgdPz IV/70
1040,   87  JagdTiger
1242,   88  Marder III
1587,   89  Nashorn
1588,   90  PzJgd I
1820,   91  StuG IIIF
1836,   92  StuG IIIG
2226,   93  10.5 leFH 18
